Load ID,Pickup State,Delivery State,Loaded Miles,Deadhead Miles,Rate Per Mile,Fuel Cost,Detention Hours,Driver Assigned,Dispatcher,Cost per Mile,Gross Revenue,Total Cost,Net Profit,Broker Name,Load Date,Total Miles,Profit per Mile
L0001,FL,CA,1150,198,2.93,869.88,2,Driver 9,Dispatch B,1.05,3369.5,1417.22,1952.28,CH Robinson,2025-01-16,1348,1.7
L0002,IL,PA,845,140,2.9,591.62,5,Driver 7,Dispatch C,0.92,2450.5,901.76,1548.74,TQL,2025-01-2,985,1.83
L0003,GA,AZ,725,105,2.79,482,4,Driver 10,Dispatch B,0.86,2022.75,711.45,1311.3,Coyote,2025-01-18,830,1.81
L0004,CA,AZ,532,258,2.3,517.74,4,Driver 7,Dispatch C,1.01,1223.6,793.99,429.61,JB Hunt,2025-01-9,790,0.81
L0005,GA,AZ,552,117,3.03,447.89,0,Driver 5,Dispatch C,1.01,1672.56,674.82,997.74,CH Robinson,2025-01-2,669,1.81
L0006,GA,OH,933,181,2.16,670.16,4,Driver 5,Dispatch A,0.86,2015.28,953.23,1062.05,Echo,2025-01-25,1114,1.14
L0007,GA,PA,896,299,2.56,696.64,1,Driver 1,Dispatch B,0.93,2293.76,1114.88,1178.88,CH Robinson,2025-01-7,1195,1.32
L0008,GA,NC,1109,190,2.65,956.61,3,Driver 2,Dispatch C,1.15,2938.85,1490.04,1448.81,TQL,2025-01-21,1299,1.31
L0009,CA,GA,310,260,2.93,392.69,5,Driver 6,Dispatch B,1.1,908.3,626.5,281.8,CH Robinson,2025-01-14,570,0.91
L0010,TX,OH,684,290,1.99,621.84,3,Driver 3,Dispatch A,0.99,1361.16,961.3,399.86,JB Hunt,2025-01-18,974,0.58
L0011,IL,NC,547,269,2.65,523.01,2,Driver 7,Dispatch A,1.07,1449.55,876.34,573.21,XPO,2025-01-23,816,1.05
L0012,FL,AZ,1178,178,2.97,820.15,4,Driver 10,Dispatch C,1.04,3498.66,1414.15,2084.51,CH Robinson,2025-01-12,1356,1.77
L0013,OH,FL,470,132,2.68,372.87,2,Driver 4,Dispatch A,1.03,1259.6,617.89,641.71,Coyote,2025-01-26,602,1.37
L0014,PA,AZ,832,84,2.24,530.54,2,Driver 6,Dispatch A,0.84,1863.68,770.51,1093.17,XPO,2025-01-2,916,1.31
L0015,NC,NJ,1040,265,2.62,748.81,3,Driver 8,Dispatch C,0.93,2724.8,1207.75,1517.05,Echo,2025-01-23,1305,1.46
L0016,FL,OH,757,127,2.75,486.79,2,Driver 8,Dispatch A,0.95,2081.75,842.75,1239,JB Hunt,2025-01-2,884,1.64
L0017,CA,AZ,1096,95,2.91,702.87,1,Driver 7,Dispatch C,1.01,3189.36,1202.1,1987.26,TQL,2025-01-1,1191,1.81
L0018,NC,CA,305,118,1.93,301.87,0,Driver 4,Dispatch C,1.15,588.65,486.85,101.8,Echo,2025-01-1,423,0.33
L0019,FL,IL,929,217,2.95,740.79,2,Driver 7,Dispatch B,0.95,2740.55,1090.67,1649.88,Coyote,2025-01-28,1146,1.78
L0020,IL,AZ,924,69,2.34,553.77,3,Driver 10,Dispatch B,1,2162.16,997.12,1165.04,JB Hunt,2025-01-5,993,1.26
L0021,TX,TX,930,115,2.03,748.56,2,Driver 6,Dispatch A,0.98,1887.9,1024.34,863.56,CH Robinson,2025-01-17,1045,0.93
L0022,IL,FL,666,260,2.84,616.84,0,Driver 5,Dispatch C,1.06,1891.44,984.2,907.24,TQL,2025-01-9,926,1.36
L0023,CA,FL,353,124,1.87,350.95,0,Driver 2,Dispatch B,1.01,660.11,480.7,179.41,CH Robinson,2025-01-22,477,0.51
L0024,IL,GA,794,259,2.03,708.14,3,Driver 2,Dispatch C,0.99,1611.82,1046.55,565.27,TQL,2025-01-8,1053,0.71
L0025,IL,FL,504,98,2.62,359.17,2,Driver 9,Dispatch C,0.93,1320.48,562.34,758.14,TQL,2025-01-24,602,1.5
L0026,CA,IL,1166,70,2.78,723.02,0,Driver 6,Dispatch B,0.93,3241.48,1143.4,2098.08,CH Robinson,2025-01-19,1236,1.8
L0027,IL,NJ,879,101,2.27,670.73,3,Driver 9,Dispatch A,1.03,1995.33,1014.01,981.32,XPO,2025-01-12,980,1.12
L0028,PA,IL,926,223,3.02,846.36,0,Driver 6,Dispatch A,1.13,2796.52,1296.72,1499.8,CH Robinson,2025-01-23,1149,1.62
L0029,AZ,FL,454,111,1.9,399.53,5,Driver 2,Dispatch C,1.04,862.6,586.55,276.05,Coyote,2025-01-1,565,0.61
L0030,CA,NC,740,86,2.62,555.62,3,Driver 9,Dispatch C,1.08,1938.8,893.74,1045.06,CH Robinson,2025-01-21,826,1.41
L0031,GA,OH,797,146,2.47,597.24,0,Driver 6,Dispatch B,0.93,1968.59,880.31,1088.28,Echo,2025-01-3,943,1.37
L0032,FL,FL,1156,122,2.2,909.05,2,Driver 8,Dispatch B,1.05,2543.2,1340.68,1202.52,JB Hunt,2025-01-14,1278,1.04
L0033,NC,OH,886,149,2.5,669.57,1,Driver 4,Dispatch C,0.94,2215,969.58,1245.42,TQL,2025-01-8,1035,1.41
L0034,FL,IL,662,131,2.99,460.06,4,Driver 8,Dispatch B,1.03,1979.38,813.26,1166.12,JB Hunt,2025-01-5,793,1.76
L0035,NJ,NJ,497,160,2.38,485.77,5,Driver 1,Dispatch A,1.01,1182.86,664.48,518.38,JB Hunt,2025-01-23,657,1.04
L0036,CA,TX,1052,258,2.22,739.74,2,Driver 3,Dispatch B,0.98,2335.44,1287.16,1048.28,JB Hunt,2025-01-20,1310,1
L0037,OH,IL,729,136,2.65,544.93,2,Driver 2,Dispatch B,1.08,1931.85,931.55,1000.3,TQL,2025-01-22,865,1.37
L0038,GA,AZ,393,255,2.02,386.29,1,Driver 6,Dispatch B,0.98,793.86,635.72,158.14,JB Hunt,2025-01-26,648,0.4
L0039,FL,OH,444,255,2.35,512.94,1,Driver 5,Dispatch A,1.05,1043.4,731.04,312.36,XPO,2025-01-26,699,0.7
L0040,NJ,GA,930,141,3.14,769.93,3,Driver 8,Dispatch B,1.05,2920.2,1123.86,1796.34,JB Hunt,2025-01-18,1071,1.93
L0041,GA,IL,444,84,2.52,290.76,3,Driver 4,Dispatch A,0.89,1118.88,468.48,650.4,JB Hunt,2025-01-9,528,1.46
L0042,OH,AZ,345,85,2.68,254.88,3,Driver 10,Dispatch C,0.85,924.6,365.62,558.98,XPO,2025-01-24,430,1.62
L0043,TX,FL,565,240,2.41,563.27,5,Driver 10,Dispatch A,0.98,1361.65,788.45,573.2,XPO,2025-01-20,805,1.01
